name,contest,id
A. joi2006ho_a,joi2006ho,joi2006ho_a
B. joi2006ho_b,joi2006ho,joi2006ho_b
C. joi2006ho_c,joi2006ho,joi2006ho_c
D. joi2006ho_d,joi2006ho,joi2006ho_d
E. joi2006ho_e,joi2006ho,joi2006ho_e
A. joi2006yo_a,joi2006yo,joi2006yo_a
B. joi2006yo_b,joi2006yo,joi2006yo_b
C. joi2006yo_c,joi2006yo,joi2006yo_c
D. joi2006yo_d,joi2006yo,joi2006yo_d
E. joi2006yo_e,joi2006yo,joi2006yo_e
A. 最大の和,joi2007ho,joi2007ho_a
B. 最長の階段,joi2007ho,joi2007ho_b
C. 最古の遺跡,joi2007ho,joi2007ho_c
D. 最悪の記者,joi2007ho,joi2007ho_d
E. 最軽量のモビール,joi2007ho,joi2007ho_e
A. 得点,joi2007yo,joi2007yo_a
B. 未提出者は誰だ,joi2007yo,joi2007yo_b
C. シーザー暗号,joi2007yo,joi2007yo_c
D. カードの並び替え,joi2007yo,joi2007yo_d
E. 品質検査,joi2007yo,joi2007yo_e
F. 通学経路,joi2007yo,joi2007yo_f
A. 碁石ならべ,joi2008ho,joi2008ho_a
B. 共通部分文字列,joi2008ho,joi2008ho_b
C. ダーツ,joi2008ho,joi2008ho_c
D. ぴょんぴょん川渡り,joi2008ho,joi2008ho_d
E. ペンキの色,joi2008ho,joi2008ho_e
A. おつり,joi2008yo,joi2008yo_a
B. JOIとIOI,joi2008yo,joi2008yo_b
C. カードゲーム,joi2008yo,joi2008yo_c
D. 星座探し,joi2008yo,joi2008yo_d
E. おせんべい,joi2008yo,joi2008yo_e
F. 船旅,joi2008yo,joi2008yo_f
A. IOIOI,joi2009ho,joi2009ho_a
B. ピザ,joi2009ho,joi2009ho_b
C. あみだくじ,joi2009ho,joi2009ho_c
D. 散歩,joi2009ho,joi2009ho_d
E. 認証レベル,joi2009ho,joi2009ho_e
A. タイムカード,joi2009yo,joi2009yo_a
B. コンテスト,joi2009yo,joi2009yo_b
C. 連鎖,joi2009yo,joi2009yo_c
D. 薄氷渡り,joi2009yo,joi2009yo_d
E. シャッフル,joi2009yo,joi2009yo_e
F. ビンゴ,joi2009yo,joi2009yo_f
A. 旅人,joi2010ho,joi2010ho_a
B. お菓子の分割,joi2010ho,joi2010ho_b
C. つらら,joi2010ho,joi2010ho_c
D. 博覧会,joi2010ho,joi2010ho_d
E. ダンジョン,joi2010ho,joi2010ho_e
A. レシート,joi2010yo,joi2010yo_a
B. すごろく,joi2010yo,joi2010yo_b
C. パーティー,joi2010yo,joi2010yo_c
D. カード並べ,joi2010yo,joi2010yo_d
